contrast_id,contrast_name,condition1,condition2,weight1,weight2
1,CS-_others > FIXATION,CS-_others,FIXATION,1,-1
2,CSS_others > FIXATION,CSS_others,FIXATION,1,-1
3,CSR_others > FIXATION,CSR_others,FIXATION,1,-1
4,CSS_others > CSR_others,CSS_others,CSR_others,1,-1
5,CSR_others > CSS_others,CSR_others,CSS_others,1,-1
6,CSS_others > CS-_others,CSS_others,CS-_others,1,-1
7,CSR_others > CS-_others,CSR_others,CS-_others,1,-1
8,CS-_others > CSS_others,CS-_others,CSS_others,1,-1
9,CS-_others > CSR_others,CS-_others,CSR_others,1,-1
