contrast_id,contrast_name,contrast_type,condition1,condition2,weight1,weight2,description
1,CS-_others > FIXATION,T,CS-_others,FIXATION,1,-1,C1: CS-_others > FIXATION
2,CSS_others > FIXATION,T,CSS_others,FIXATION,1,-1,C2: CSS_others > FIXATION
3,CSR_others > FIXATION,T,CSR_others,FIXATION,1,-1,C3: CSR_others > FIXATION
4,CSS_others > CSR_others,T,CSS_others,CSR_others,1,-1,C4: CSS_others > CSR_others
5,CSR_others > CSS_others,T,CSR_others,CSS_others,1,-1,C5: CSR_others > CSS_others
6,CSS_others > CS-_others,T,CSS_others,CS-_others,1,-1,C6: CSS_others > CS-_others
7,CSR_others > CS-_others,T,CSR_others,CS-_others,1,-1,C7: CSR_others > CS-_others
8,CS-_others > CSS_others,T,CS-_others,CSS_others,1,-1,C8: CS-_others > CSS_others
9,CS-_others > CSR_others,T,CS-_others,CSR_others,1,-1,C9: CS-_others > CSR_others
