contrast_id,contrast_name,contrast_type,condition1,condition2,weight1,weight2,conditions_list,weights_list
48,US_CSS<CSR_others,T,US_CSS,CSR_others,-1,1,"['US_CSS', 'CSR_others']","[-1, 1]"
49,US_CSS>CSS_others,T,US_CSS,CSS_others,1,-1,"['US_CSS', 'CSS_others']","[1, -1]"
50,US_CSS<CSS_others,T,US_CSS,CSS_others,-1,1,"['US_CSS', 'CSS_others']","[-1, 1]"
51,US_CSS>CS-_others,T,US_CSS,CS-_others,1,-1,"['US_CSS', 'CS-_others']","[1, -1]"
52,US_CSS<CS-_others,T,US_CSS,CS-_others,-1,1,"['US_CSS', 'CS-_others']","[-1, 1]"
53,CSR_first>US_CSR,T,CSR_first,US_CSR,1,-1,"['CSR_first', 'US_CSR']","[1, -1]"
54,CSR_first<US_CSR,T,CSR_first,US_CSR,-1,1,"['CSR_first', 'US_CSR']","[-1, 1]"
55,CSR_first>CSR_others,T,CSR_first,CSR_others,1,-1,"['CSR_first', 'CSR_others']","[1, -1]"
56,CSR_first<CSR_others,T,CSR_first,CSR_others,-1,1,"['CSR_first', 'CSR_others']","[-1, 1]"
57,CSR_first>CSS_others,T,CSR_first,CSS_others,1,-1,"['CSR_first', 'CSS_others']","[1, -1]"
58,CSR_first<CSS_others,T,CSR_first,CSS_others,-1,1,"['CSR_first', 'CSS_others']","[-1, 1]"
59,CSR_first>CS-_others,T,CSR_first,CS-_others,1,-1,"['CSR_first', 'CS-_others']","[1, -1]"
60,CSR_first<CS-_others,T,CSR_first,CS-_others,-1,1,"['CSR_first', 'CS-_others']","[-1, 1]"
61,US_CSR>CSR_others,T,US_CSR,CSR_others,1,-1,"['US_CSR', 'CSR_others']","[1, -1]"
62,US_CSR<CSR_others,T,US_CSR,CSR_others,-1,1,"['US_CSR', 'CSR_others']","[-1, 1]"
63,US_CSR>CSS_others,T,US_CSR,CSS_others,1,-1,"['US_CSR', 'CSS_others']","[1, -1]"
64,US_CSR<CSS_others,T,US_CSR,CSS_others,-1,1,"['US_CSR', 'CSS_others']","[-1, 1]"
65,US_CSR>CS-_others,T,US_CSR,CS-_others,1,-1,"['US_CSR', 'CS-_others']","[1, -1]"
66,US_CSR<CS-_others,T,US_CSR,CS-_others,-1,1,"['US_CSR', 'CS-_others']","[-1, 1]"
67,CSR_others>CSS_others,T,CSR_others,CSS_others,1,-1,"['CSR_others', 'CSS_others']","[1, -1]"
68,CSR_others<CSS_others,T,CSR_others,CSS_others,-1,1,"['CSR_others', 'CSS_others']","[-1, 1]"
69,CSR_others>CS-_others,T,CSR_others,CS-_others,1,-1,"['CSR_others', 'CS-_others']","[1, -1]"
70,CSR_others<CS-_others,T,CSR_others,CS-_others,-1,1,"['CSR_others', 'CS-_others']","[-1, 1]"
71,CSS_others>CS-_others,T,CSS_others,CS-_others,1,-1,"['CSS_others', 'CS-_others']","[1, -1]"
72,CSS_others<CS-_others,T,CSS_others,CS-_others,-1,1,"['CSS_others', 'CS-_others']","[-1, 1]"
